ts	phase	decision	why	evidence	result
2026-08-24T14:06:59Z	frame	ran poteto figure-it-out playbook; targets: test harness, bugs it exposes, list UX, docs drift	two prior review passes left zero regression tests; harness is the structural gap both missed	SKILL.md reads; repo survey wc -l	framing set
2026-08-24T14:06:59Z	frame	predicate: node --test suite green under Node 22 against real ctl binary + real bridge module; each behavior change red-then-green	done must be checkable, not felt	decisions.tsv	open
2026-08-24T14:06:59Z	design	verified Node 22 imports bridge .ts natively before designing harness around it	riskiest unknown first; if import failed the bridge harness design dies	node -e import test, exit 0	import ok
2026-08-24T14:07:57Z	design	units: U1 harness scaffold, U2 ctl read-path tests, U3 ctl wait-loop tests, U4 bridge module tests, U5 rpc-run tests vs fake atomic, U6 fix bugs red-then-green, U7 list shows busy state, U8 docs+changelog sync, U9 audit+review	harness first: every later unit verifies through it; fixes only land with a failing test first	decisions.tsv	open
2026-08-24T14:07:57Z	design	skip architect/arena for harness design	no one-way door: shape dictated by existing seams (ATOMIC_CODING_AGENT_DIR env, spawnable mjs, importable ts); a design bakeoff over a settled shape is over-engineering	figure-it-out Phase B skip clause	skipped
2026-08-24T14:07:57Z	design	skip subagent fan-out for test authoring; cross-model trail review still spawns at end	2k-line repo, one coherent harness; knowledge transfer cost exceeds parallel gain	wc -l survey	skipped
2026-08-24T14:11:35Z	U1-U2	harness + 22 registry tests landed; 20 green, 2 red as intended (prune closedAt, list busy)	red tests first so the fixes prove themselves	commit e5e3627	20 green / 2 known red
2026-08-24T14:12:49Z	U6-U7	fixed prune closedAt aging + surfaced busy/idle in list	prune bug destroys history of freshly closed long-lived sessions; busy flag was written every 5s and never read	commit 7de32fd	22/22 green
2026-08-24T14:16:09Z	U3	wait-loop tests: 17/17 green first run, no defects found	the exit-code contract is what the CC skill relies on; now pinned instead of trusted	commit 71e35c9	17/17 green
2026-08-24T14:17:57Z	U4	bridge tests 19/19 green first run; no defects found in bridge logic	the module was importable untouched; harness needed zero shipped-code edits	commit a7b4982	19/19 green
2026-08-24T14:19:01Z	U5	rpc-run tests 6/6 green via fake-atomic fixture	0.2.1 fixed three exit-code bugs here with no protection; fixture makes the RPC contract testable offline	commit 8aac147	6/6 green
2026-08-24T14:26:18Z	U8	consistency guards + docs sync landed; full suite 67/67	docs drift became a failing test instead of a review instruction	commit e7223b8	67/67 green
2026-08-24T14:26:18Z	U8	found node --test test/ does not resolve on this Node; suite runs via explicit glob; fake-atomic under bare node --test discovery hangs on stdin	default discovery treats every file under test/ as a test; documented the glob invocation instead	backgrounded task bct1vbcvw, then green rerun	README/CHANGELOG document the glob form
2026-08-24T14:26:51Z	U6-U7	abandoned git add -p hunk-splitting for the two ctl fixes; committed both in one commit	interactive staging over interdependent hunks was fragile; red tests already sit in the prior commit so each fix still proves itself	commit history: test commit precedes fix commit	sequenced
2026-08-24T14:26:51Z	verify	ran the changed list against the real ~/.atomic/agent registry read-only	prove against the real artifact, not only the harness; live send not possible (no live session)	list --all output: stale/closed render dash in busy column	renders correctly
2026-08-24T14:26:51Z	verify	full suite final: 67/67 green under Node 22	predicate check	node --test glob run	tests green
2026-08-24T14:27:43Z	audit	git add -A had committed decisions.tsv; amended it out of the last commit	the trail is a local working artifact; committing it would ship audit droppings in the plugin package	amend a07e5b0 (was e7223b8)	tree clean, log untracked
2026-08-24T14:27:43Z	review	spawned cross-model reviewer (opus) over the trail, diffs, and a suite rerun	the worker model cannot bring fresh eyes to its own run	reviewer output pending	open
